candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter
cholix_unbound_mutoutside_hightemp_1	605	0.0297	0.8376	True	True	True
cholix_unbound_mutoutside_hightemp_2	605	0.0236	0.8322	True	True	True
cholix_unbound_mutoutside_hightemp_3	605	0.0254	0.8559	True	True	True
cholix_unbound_mutoutside_hightemp_4	605	0.0362	0.8059	True	True	True
cholix_unbound_mutoutside_hightemp_5	605	0.0224	0.8415	True	True	True
cholix_unbound_mutoutside_hightemp_6	605	0.0312	0.8208	True	True	True
cholix_unbound_mutoutside_hightemp_7	605	0.0304	0.8357	True	True	True
cholix_unbound_mutoutside_hightemp_8	605	0.0277	0.841	True	True	True
cholix_unbound_mutoutside_hightemp_9	605	0.0258	0.8201	True	True	True
cholix_unbound_mutoutside_hightemp_10	605	0.0286	0.8341	True	True	True
cholix_unbound_mutoutside_hightemp_11	605	0.0375	0.8586	True	True	True
cholix_unbound_mutoutside_hightemp_12	605	0.0259	0.8379	True	True	True
cholix_unbound_mutoutside_hightemp_13	605	0.0252	0.85	True	True	True
cholix_unbound_mutoutside_hightemp_14	605	0.0371	0.8143	True	True	True
cholix_unbound_mutoutside_hightemp_15	605	0.0326	0.8418	True	True	True
cholix_unbound_mutoutside_hightemp_16	605	0.0249	0.8402	True	True	True
cholix_unbound_mutoutside_hightemp_17	605	0.0272	0.8393	True	True	True
cholix_unbound_mutoutside_hightemp_18	605	0.0313	0.8428	True	True	True
cholix_unbound_mutoutside_hightemp_19	605	0.0304	0.8355	True	True	True
cholix_unbound_mutoutside_hightemp_20	605	0.0316	0.8375	True	True	True
cholix_unbound_mutoutside_hightemp_21	605	0.0249	0.7945	True	False	False
cholix_unbound_mutoutside_hightemp_22	605	0.0339	0.8378	True	True	True
cholix_unbound_mutoutside_hightemp_23	605	0.0232	0.8392	True	True	True
cholix_unbound_mutoutside_hightemp_24	605	0.022	0.848	True	True	True
cholix_unbound_mutoutside_hightemp_25	605	0.0284	0.8396	True	True	True
cholix_unbound_mutoutside_hightemp_26	605	0.0224	0.8453	True	True	True
cholix_unbound_mutoutside_hightemp_27	605	0.0301	0.8311	True	True	True
cholix_unbound_mutoutside_hightemp_28	605	0.0242	0.8447	True	True	True
cholix_unbound_mutoutside_hightemp_29	605	0.0324	0.8492	True	True	True
cholix_unbound_mutoutside_hightemp_30	605	0.0241	0.8207	True	True	True
cholix_unbound_mutconserved_hightemp_1	605	0.027	0.7312	True	False	False
cholix_unbound_mutconserved_hightemp_2	605	0.0232	0.7572	True	False	False
cholix_unbound_mutconserved_hightemp_3	605	0.0086	0.7277	False	False	False
cholix_unbound_mutconserved_hightemp_4	605	0.0084	0.7488	False	False	False
cholix_unbound_mutconserved_hightemp_5	605	0.0147	0.7436	False	False	False
cholix_unbound_mutconserved_hightemp_6	605	0.0091	0.7443	False	False	False
cholix_unbound_mutconserved_hightemp_7	605	0.0098	0.7433	False	False	False
cholix_unbound_mutconserved_hightemp_8	605	0.1672	0.7231	True	False	False
cholix_unbound_mutconserved_hightemp_9	605	0.0142	0.7353	False	False	False
cholix_unbound_mutconserved_hightemp_10	605	0.0107	0.7412	False	False	False
cholix_unbound_mutconserved_hightemp_11	605	0.0143	0.7476	False	False	False
cholix_unbound_mutconserved_hightemp_12	605	0.0701	0.7276	True	False	False
cholix_unbound_mutconserved_hightemp_13	605	0.0121	0.7146	False	False	False
cholix_unbound_mutconserved_hightemp_14	605	0.0181	0.7119	False	False	False
cholix_unbound_mutconserved_hightemp_15	605	0.0086	0.7432	False	False	False
cholix_unbound_mutconserved_hightemp_16	605	0.0141	0.7445	False	False	False
cholix_unbound_mutconserved_hightemp_17	605	0.0195	0.7484	False	False	False
cholix_unbound_mutconserved_hightemp_18	605	0.0083	0.7533	False	False	False
cholix_unbound_mutconserved_hightemp_19	605	0.011	0.7203	False	False	False
cholix_unbound_mutconserved_hightemp_20	605	0.0129	0.7318	False	False	False
cholix_unbound_mutconserved_hightemp_21	605	0.0181	0.7333	False	False	False
cholix_unbound_mutconserved_hightemp_22	605	0.0349	0.7979	True	False	False
cholix_unbound_mutconserved_hightemp_23	605	0.0105	0.7399	False	False	False
cholix_unbound_mutconserved_hightemp_24	605	0.0096	0.7424	False	False	False
cholix_unbound_mutconserved_hightemp_25	605	0.0105	0.7401	False	False	False
cholix_unbound_mutconserved_hightemp_26	605	0.0138	0.725	False	False	False
cholix_unbound_mutconserved_hightemp_27	605	0.0157	0.7384	False	False	False
cholix_unbound_mutconserved_hightemp_28	605	0.0084	0.7455	False	False	False
cholix_unbound_mutconserved_hightemp_29	605	0.0094	0.7376	False	False	False
cholix_unbound_mutconserved_hightemp_30	605	0.0162	0.731	False	False	False
