rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	subtilisin_unbound	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
2	1trn_A	+0.0161	0.1188	1.0000	0.48	0	0.0000	PREDICTED BINDER
3	chymotrypsin_unbound	+1.1712	0.1162	0.3333	—	0	0.0000	PREDICTED BINDER
4	1yph	+1.1744	0.1169	0.3333	—	0	0.0000	PREDICTED BINDER
5	1F0L	+1.2187	0.1271	0.3333	—	0	0.0000	PREDICTED BINDER
6	1f0l_A	+1.2348	0.1308	0.3333	—	0	0.0000	PREDICTED BINDER
7	1v3d	+1.2436	0.1329	0.3333	—	0	0.0000	PREDICTED BINDER
8	mutoutside_1_af3	+1.2530	0.1350	0.3333	—	0	0.0000	PREDICTED BINDER
9	2bba	+1.2567	0.2126	0.6667	—	0	0.0000	PREDICTED BINDER
10	8vf1	+1.3706	0.1621	0.3333	—	0	0.0000	PREDICTED BINDER
11	2vsk	+1.3777	0.1637	0.3333	—	0	0.0000	PREDICTED BINDER
12	6vy4	+1.4611	0.1062	0.0000	—	0	0.0000	PREDICTED BINDER
13	8ja5	+1.4727	0.1089	0.0000	—	0	0.0000	PREDICTED BINDER
14	covid_closed	+1.5067	0.1167	0.0000	—	0	0.0000	PREDICTED BINDER
15	8xc4	+1.5085	0.1171	0.0000	—	0	0.0000	PREDICTED BINDER
16	1trn	+1.5100	0.1175	0.0000	—	0	0.0000	PREDICTED BINDER
17	7syy	+1.5210	0.1200	0.0000	—	0	0.0000	PREDICTED BINDER
18	6cmi	+1.5385	0.1240	0.0000	—	0	0.0000	PREDICTED BINDER
19	covid_open	+1.5396	0.1243	0.0000	—	0	0.0000	PREDICTED BINDER
20	6vy5	+1.5447	0.1254	0.0000	—	0	0.0000	PREDICTED BINDER
21	mutconserved_1_af3	+1.5613	0.1293	0.0000	—	0	0.0000	PREDICTED BINDER
22	1iko	+1.5686	0.2077	0.3333	—	0	0.0000	PREDICTED BINDER
23	6cmg	+1.5697	0.1312	0.0000	—	0	0.0000	PREDICTED BINDER
24	1sgk_A	+1.5736	0.1321	0.0000	—	0	0.0000	PREDICTED BINDER
25	1SGK	+1.5736	0.1321	0.0000	—	0	0.0000	PREDICTED BINDER
26	1tox	+1.5741	0.1322	0.0000	—	0	0.0000	PREDICTED BINDER
27	1tox_A	+1.5832	0.1343	0.0000	—	0	0.0000	PREDICTED BINDER
28	4wwy	+1.5845	0.1346	0.0000	—	0	0.0000	PREDICTED BINDER
29	mutconserved_10_af3	+1.5849	0.1347	0.0000	—	0	0.0000	PREDICTED BINDER
30	3gxu_A	+1.5853	0.2115	0.3333	—	0	0.0000	PREDICTED BINDER
31	mutconserved_9_af3	+1.6042	0.1391	0.0000	—	0	0.0000	PREDICTED BINDER
32	2bba_A	+1.6046	0.2160	0.3333	—	0	0.0000	PREDICTED BINDER
33	6p72	+1.6066	0.1397	0.0000	—	0	0.0000	PREDICTED BINDER
34	5kv9	+1.6469	0.1490	0.0000	—	0	0.0000	PREDICTED BINDER
35	7syy_A	+1.6494	0.1495	0.0000	—	0	0.0000	PREDICTED BINDER
