mobile,target,tm_score_1,tm_score_2,rmsd,seq_id,aligned_len,classification
cholix_fullprotein_t10_mutconserved_11,cholix_catalytic_2q5tA03,0.3125,0.8536,2.29,0.342,199.0,flagged
cholix_fullprotein_t10_mutconserved_11,cholix_receptor_binding_2q5tA01,0.3017,0.7716,2.97,0.185,200.0,flagged
cholix_fullprotein_t10_mutconserved_11,cholix_translocation_2q5tA02,0.2525,0.8452,2.35,0.247,162.0,flagged
cholix_fullprotein_t10_mutconserved_14,cholix_catalytic_2q5tA03,0.329,0.9061,1.97,0.377,207.0,flagged
cholix_fullprotein_t10_mutconserved_14,cholix_receptor_binding_2q5tA01,0.3276,0.8707,2.1,0.303,208.0,flagged
cholix_fullprotein_t10_mutconserved_14,cholix_translocation_2q5tA02,0.2563,0.8441,2.3,0.303,165.0,flagged
cholix_fullprotein_t10_mutconserved_19,cholix_catalytic_2q5tA03,0.3188,0.8637,2.5,0.346,205.0,flagged
cholix_fullprotein_t10_mutconserved_19,cholix_receptor_binding_2q5tA01,0.3265,0.8574,2.21,0.254,209.0,flagged
cholix_fullprotein_t10_mutconserved_19,cholix_translocation_2q5tA02,0.2256,0.7373,2.98,0.275,149.0,flagged
cholix_fullprotein_t10_mutconserved_1,cholix_catalytic_2q5tA03,0.3359,0.9275,1.69,0.352,210.0,flagged
cholix_fullprotein_t10_mutconserved_1,cholix_receptor_binding_2q5tA01,0.3362,0.8951,2.31,0.252,214.0,flagged
cholix_fullprotein_t10_mutconserved_1,cholix_translocation_2q5tA02,0.2622,0.895,1.8,0.327,165.0,flagged
cholix_fullprotein_t10_mutconserved_21,cholix_catalytic_2q5tA03,0.3066,0.8187,2.88,0.343,201.0,flagged
cholix_fullprotein_t10_mutconserved_21,cholix_receptor_binding_2q5tA01,0.3281,0.8634,2.42,0.318,211.0,flagged
cholix_fullprotein_t10_mutconserved_21,cholix_translocation_2q5tA02,0.2606,0.8871,2.02,0.279,165.0,flagged
cholix_fullprotein_t10_mutconserved_28,cholix_catalytic_2q5tA03,0.2997,0.8025,2.89,0.316,196.0,flagged
cholix_fullprotein_t10_mutconserved_28,cholix_receptor_binding_2q5tA01,0.3103,0.8025,2.85,0.324,204.0,flagged
cholix_fullprotein_t10_mutconserved_28,cholix_translocation_2q5tA02,0.1816,0.5052,4.66,0.191,136.0,borderline
cholix_fullprotein_t10_mutconserved_30,cholix_catalytic_2q5tA03,0.3073,0.8115,3.19,0.314,204.0,flagged
cholix_fullprotein_t10_mutconserved_30,cholix_receptor_binding_2q5tA01,0.3269,0.8607,2.19,0.23,209.0,flagged
cholix_fullprotein_t10_mutconserved_30,cholix_translocation_2q5tA02,0.2084,0.623,3.86,0.143,147.0,borderline
cholix_fullprotein_t10_mutconserved_6,cholix_catalytic_2q5tA03,0.32,0.8555,2.68,0.399,208.0,flagged
cholix_fullprotein_t10_mutconserved_6,cholix_receptor_binding_2q5tA01,0.3123,0.7858,3.33,0.227,211.0,flagged
cholix_fullprotein_t10_mutconserved_6,cholix_translocation_2q5tA02,0.2377,0.7757,2.83,0.237,156.0,flagged
