rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	1sgk_A	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
2	1SGK	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
3	1tox_A	-0.6773	0.0375	1.0000	0.11	0	0.0000	PREDICTED BINDER
4	1f0l_A	-0.5603	0.0510	1.0000	0.15	0	0.0000	PREDICTED BINDER
5	1tox	-0.3599	0.0361	0.6667	0.08	0	0.0000	PREDICTED BINDER
6	1F0L	-0.2283	0.0506	0.6667	0.16	0	0.0000	PREDICTED BINDER
7	2bba_A	+0.3833	0.0896	0.6667	1.76	0	0.0000	PREDICTED BINDER
8	6p72_A	+0.4264	0.0801	0.5000	1.51	0	0.0000	PREDICTED BINDER
9	2bba	+0.4650	0.0955	0.5000	1.04	0	0.0000	PREDICTED BINDER
10	6pdl_A	+0.4811	0.0986	0.5000	1.00	0	0.0000	PREDICTED BINDER
11	1v3d_A	+0.5310	0.1003	0.5000	1.19	0	0.0000	PREDICTED BINDER
12	2hle_A	+0.5608	0.0978	0.5000	1.46	0	0.0000	PREDICTED BINDER
13	3d12_A	+0.5625	0.0926	0.5000	1.69	0	0.0000	PREDICTED BINDER
14	A_B_b3_A	+0.5625	0.0926	0.5000	1.69	0	0.0000	PREDICTED BINDER
15	A_B_b3_noPTM_A	+0.5625	0.0926	0.5000	1.69	0	0.0000	PREDICTED BINDER
16	b3_A	+0.5625	0.0926	0.5000	1.69	0	0.0000	PREDICTED BINDER
17	A_B_b3_noPTM	+0.5717	0.0938	0.5000	1.69	0	0.0000	PREDICTED BINDER
18	A_B_b3	+0.5724	0.0938	0.5000	1.69	0	0.0000	PREDICTED BINDER
19	8xc4_A	+0.5747	0.0942	0.5000	1.69	0	0.0000	PREDICTED BINDER
20	6vy5_A	+0.5885	0.0966	0.5000	1.66	0	0.0000	PREDICTED BINDER
21	3d11	+0.6097	0.0953	0.5000	1.83	0	0.0000	PREDICTED BINDER
22	6pd4_A	+0.6437	0.0960	0.5000	1.99	0	0.0000	PREDICTED BINDER
23	3d12	+0.6512	0.0903	0.5000	2.27	0	0.0000	PREDICTED BINDER
24	b3	+0.6512	0.0903	0.5000	2.27	0	0.0000	PREDICTED BINDER
25	8vf1_A	+0.6971	0.0999	0.5000	2.11	0	0.0000	PREDICTED BINDER
26	2x9m_A	+0.6999	0.1034	0.5000	1.97	0	0.0000	PREDICTED BINDER
27	5kv9	+0.8508	0.1053	0.5000	2.70	0	0.0000	PREDICTED BINDER
28	3gxu_A	+0.8656	0.1226	0.5000	2.02	0	0.0000	PREDICTED BINDER
29	6vy5	+1.3681	0.0868	0.3333	—	0	0.0000	PREDICTED BINDER
30	8vf1	+1.4098	0.0920	0.3333	—	0	0.0000	PREDICTED BINDER
31	6p72	+1.4162	0.0721	0.1667	—	0	0.0000	PREDICTED BINDER
32	9dvd	+1.4241	0.0938	0.3333	—	0	0.0000	PREDICTED BINDER
33	5nop_A	+1.4262	0.0940	0.3333	—	0	0.0000	PREDICTED BINDER
34	2vwd	+1.4487	0.0968	0.3333	—	0	0.0000	PREDICTED BINDER
35	2vwd_A_boltz2	+1.4685	0.0993	0.3333	—	0	0.0000	PREDICTED BINDER
36	2vwd_A	+1.4732	0.0998	0.3333	—	0	0.0000	PREDICTED BINDER
37	1iko	+1.4747	0.1000	0.3333	—	0	0.0000	unlikely binder
38	2vsm	+1.4979	0.0823	0.1667	—	0	0.0000	unlikely binder
39	b2	+1.4979	0.0823	0.1667	—	0	0.0000	unlikely binder
40	A_B_b2	+1.5025	0.0828	0.1667	—	0	0.0000	unlikely binder
