rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict	label
1	1sgk_A_cleaned	-1.0	0.0	1.0	0.00	0	0.0	PREDICTED BINDER	binder
2	1SGK_cleaned	-1.0	0.0	1.0	0.00	0	0.0	PREDICTED BINDER	binder
3	1tox_A_cleaned	-0.792	0.0185	1.0	0.23	0	0.0	PREDICTED BINDER	binder
4	1tox_cleaned	-0.7003	0.018	0.9091	0.21	0	0.0	PREDICTED BINDER	binder
5	1F0L_cleaned	-0.5506	0.0238	0.8182	0.20	0	0.0	PREDICTED BINDER	binder
6	1f0l_A_cleaned	-0.5506	0.0238	0.8182	0.20	0	0.0	PREDICTED BINDER	binder
7	mutoutside_1_af3_cleaned	0.0171	0.0758	0.7273	0.24	0	0.0	PREDICTED BINDER	non-binder
8	6pdl_cleaned	0.606	0.0706	0.2727	0.96	0	0.0	PREDICTED BINDER	non-binder
9	A_B_b3_cleaned	0.6229	0.0829	0.3636	1.00	0	0.0	PREDICTED BINDER	non-binder
10	A_B_b3_noPTM_cleaned	0.6229	0.0829	0.3636	1.00	0	0.0	PREDICTED BINDER	non-binder
11	3d12_A_cleaned	0.7284	0.0841	0.2727	0.97	0	0.0	PREDICTED BINDER	non-binder
12	mutoutside_9_af3_cleaned	0.7402	0.0755	0.3636	1.97	0	0.0	PREDICTED BINDER	non-binder
13	6p72_cleaned	0.7413	0.0774	0.2727	1.36	0	0.0	PREDICTED BINDER	non-binder
14	2vwd_A_boltz2_cleaned	0.7455	0.0833	0.2727	1.10	0	0.0	PREDICTED BINDER	non-binder
15	2vsm_A_cleaned	0.7494	0.0821	0.2727	1.18	0	0.0	PREDICTED BINDER	non-binder
16	A_B_b2_noPTM_A_cleaned	0.7494	0.0821	0.2727	1.18	0	0.0	PREDICTED BINDER	non-binder
17	mutconserved_1_af3_cleaned	0.7495	0.0885	0.2727	0.88	0	0.0	PREDICTED BINDER	non-binder
18	8vf1_A_cleaned	0.754	0.081	0.2727	1.26	0	0.0	PREDICTED BINDER	non-binder
19	2vsk_cleaned	0.7757	0.077	0.2727	1.56	0	0.0	PREDICTED BINDER	non-binder
20	6pdl_A_cleaned	0.7792	0.0808	0.2727	1.40	0	0.0	PREDICTED BINDER	non-binder
21	6cmi_cleaned	0.7811	0.0816	0.2727	1.37	0	0.0	PREDICTED BINDER	non-binder
22	7syy_A_cleaned	0.7873	0.0826	0.2727	1.36	0	0.0	PREDICTED BINDER	non-binder
23	A_B_b2_noPTM_A_boltz2_cleaned	0.8024	0.0825	0.2727	1.44	0	0.0	PREDICTED BINDER	non-binder
24	mutoutside_13_af3_cleaned	0.8063	0.0894	0.2727	1.14	0	0.0	PREDICTED BINDER	non-binder
25	mutoutside_15_af3_cleaned	0.813	0.0814	0.2727	1.55	0	0.0	PREDICTED BINDER	non-binder
26	2vsk_A_cleaned	0.8176	0.0818	0.2727	1.56	0	0.0	PREDICTED BINDER	non-binder
27	8ja5_A_cleaned	0.8188	0.0854	0.2727	1.39	0	0.0	PREDICTED BINDER	non-binder
28	9dvd_A_cleaned	0.8198	0.0845	0.3636	1.97	0	0.0	PREDICTED BINDER	non-binder
29	6vy5_A_cleaned	0.8228	0.0841	0.2727	1.47	0	0.0	PREDICTED BINDER	non-binder
30	2hle_cleaned	0.8331	0.0956	0.2727	0.99	0	0.0	PREDICTED BINDER	non-binder
31	6vy4_A_cleaned	0.8377	0.0815	0.2727	1.68	0	0.0	PREDICTED BINDER	non-binder
32	A_B_b3_noPTM_A_cleaned	0.842	0.0841	0.2727	1.58	0	0.0	PREDICTED BINDER	non-binder
33	b3_A_cleaned	0.842	0.0841	0.2727	1.58	0	0.0	PREDICTED BINDER	non-binder
34	8vf1_cleaned	0.8497	0.078	0.2727	1.90	0	0.0	PREDICTED BINDER	non-binder
35	9dvd_cleaned	0.8548	0.0787	0.2727	1.90	0	0.0	PREDICTED BINDER	non-binder
36	3d11_cleaned	0.8555	0.0858	0.2727	1.57	0	0.0	PREDICTED BINDER	non-binder
37	8xc4_cleaned	0.8649	0.0716	0.2727	2.28	0	0.0	PREDICTED BINDER	non-binder
38	8xc4_A_cleaned	0.8673	0.0797	0.2727	1.92	0	0.0	PREDICTED BINDER	non-binder
39	3gxu_cleaned	0.8703	0.0837	0.3636	2.27	0	0.0	PREDICTED BINDER	non-binder
40	5nop_A_cleaned	0.8723	0.0867	0.2727	1.62	0	0.0	PREDICTED BINDER	non-binder
41	2x9m_A_cleaned	0.8898	0.0836	0.2727	1.85	0	0.0	PREDICTED BINDER	non-binder
42	5kv9_cleaned	0.9171	0.0839	0.2727	1.98	0	0.0	unlikely binder	non-binder
43	6p72_A_cleaned	0.9202	0.0812	0.2727	2.12	0	0.0	unlikely binder	non-binder
44	1v3d_cleaned	0.9359	0.0839	0.2727	2.08	0	0.0	unlikely binder	non-binder
45	mutoutside_14_af3_cleaned	0.9473	0.0941	0.3636	2.19	0	0.0	unlikely binder	non-binder
46	2vwd_cleaned	0.9595	0.0812	0.2727	2.33	0	0.0	unlikely binder	non-binder
