rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	1sgk_A_cleaned	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
2	1SGK_cleaned	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
3	1tox_A_cleaned	-0.7920	0.0185	1.0000	0.23	0	0.0000	PREDICTED BINDER
4	1tox_cleaned	-0.7003	0.0180	0.9091	0.21	0	0.0000	PREDICTED BINDER
5	1F0L_cleaned	-0.5506	0.0238	0.8182	0.20	0	0.0000	PREDICTED BINDER
6	1f0l_A_cleaned	-0.5506	0.0238	0.8182	0.20	0	0.0000	PREDICTED BINDER
7	mutoutside_1_af3_cleaned	+0.0171	0.0758	0.7273	0.24	0	0.0000	PREDICTED BINDER
8	6pdl_cleaned	+0.6060	0.0706	0.2727	0.96	0	0.0000	PREDICTED BINDER
9	A_B_b3_cleaned	+0.6229	0.0829	0.3636	1.00	0	0.0000	PREDICTED BINDER
10	A_B_b3_noPTM_cleaned	+0.6229	0.0829	0.3636	1.00	0	0.0000	PREDICTED BINDER
11	3d12_A_cleaned	+0.7284	0.0841	0.2727	0.97	0	0.0000	PREDICTED BINDER
12	mutoutside_9_af3_cleaned	+0.7402	0.0755	0.3636	1.97	0	0.0000	PREDICTED BINDER
13	6p72_cleaned	+0.7413	0.0774	0.2727	1.36	0	0.0000	PREDICTED BINDER
14	2vwd_A_boltz2_cleaned	+0.7455	0.0833	0.2727	1.10	0	0.0000	PREDICTED BINDER
15	2vsm_A_cleaned	+0.7494	0.0821	0.2727	1.18	0	0.0000	PREDICTED BINDER
16	A_B_b2_noPTM_A_cleaned	+0.7494	0.0821	0.2727	1.18	0	0.0000	PREDICTED BINDER
17	mutconserved_1_af3_cleaned	+0.7495	0.0885	0.2727	0.88	0	0.0000	PREDICTED BINDER
18	8vf1_A_cleaned	+0.7540	0.0810	0.2727	1.26	0	0.0000	PREDICTED BINDER
19	2vsk_cleaned	+0.7757	0.0770	0.2727	1.56	0	0.0000	PREDICTED BINDER
20	6pdl_A_cleaned	+0.7792	0.0808	0.2727	1.40	0	0.0000	PREDICTED BINDER
21	6cmi_cleaned	+0.7811	0.0816	0.2727	1.37	0	0.0000	PREDICTED BINDER
22	7syy_A_cleaned	+0.7873	0.0826	0.2727	1.36	0	0.0000	PREDICTED BINDER
23	A_B_b2_noPTM_A_boltz2_cleaned	+0.8024	0.0825	0.2727	1.44	0	0.0000	PREDICTED BINDER
24	mutoutside_13_af3_cleaned	+0.8063	0.0894	0.2727	1.14	0	0.0000	PREDICTED BINDER
25	mutoutside_15_af3_cleaned	+0.8130	0.0814	0.2727	1.55	0	0.0000	PREDICTED BINDER
26	2vsk_A_cleaned	+0.8176	0.0818	0.2727	1.56	0	0.0000	PREDICTED BINDER
27	8ja5_A_cleaned	+0.8188	0.0854	0.2727	1.39	0	0.0000	PREDICTED BINDER
28	9dvd_A_cleaned	+0.8198	0.0845	0.3636	1.97	0	0.0000	PREDICTED BINDER
29	6vy5_A_cleaned	+0.8228	0.0841	0.2727	1.47	0	0.0000	PREDICTED BINDER
30	2hle_cleaned	+0.8331	0.0956	0.2727	0.99	0	0.0000	PREDICTED BINDER
31	6vy4_A_cleaned	+0.8377	0.0815	0.2727	1.68	0	0.0000	PREDICTED BINDER
32	A_B_b3_noPTM_A_cleaned	+0.8420	0.0841	0.2727	1.58	0	0.0000	PREDICTED BINDER
33	b3_A_cleaned	+0.8420	0.0841	0.2727	1.58	0	0.0000	PREDICTED BINDER
34	8vf1_cleaned	+0.8497	0.0780	0.2727	1.90	0	0.0000	PREDICTED BINDER
35	9dvd_cleaned	+0.8548	0.0787	0.2727	1.90	0	0.0000	PREDICTED BINDER
36	3d11_cleaned	+0.8555	0.0858	0.2727	1.57	0	0.0000	PREDICTED BINDER
37	8xc4_cleaned	+0.8649	0.0716	0.2727	2.28	0	0.0000	PREDICTED BINDER
38	8xc4_A_cleaned	+0.8673	0.0797	0.2727	1.92	0	0.0000	PREDICTED BINDER
39	3gxu_cleaned	+0.8703	0.0837	0.3636	2.27	0	0.0000	PREDICTED BINDER
40	5nop_A_cleaned	+0.8723	0.0867	0.2727	1.62	0	0.0000	PREDICTED BINDER
41	2x9m_A_cleaned	+0.8898	0.0836	0.2727	1.85	0	0.0000	PREDICTED BINDER
42	5kv9_cleaned	+0.9171	0.0839	0.2727	1.98	0	0.0000	unlikely binder
43	6p72_A_cleaned	+0.9202	0.0812	0.2727	2.12	0	0.0000	unlikely binder
44	1v3d_cleaned	+0.9359	0.0839	0.2727	2.08	0	0.0000	unlikely binder
45	mutoutside_14_af3_cleaned	+0.9473	0.0941	0.3636	2.19	0	0.0000	unlikely binder
46	2vwd_cleaned	+0.9595	0.0812	0.2727	2.33	0	0.0000	unlikely binder
47	1iko_cleaned	+0.9619	0.0965	0.2727	1.63	0	0.0000	unlikely binder
48	A_B_b3_A_cleaned	+0.9816	0.0841	0.2727	2.32	0	0.0000	unlikely binder
49	8wjb_cleaned	+0.9911	0.0838	0.2727	2.38	0	0.0000	unlikely binder
50	1v3d_A_cleaned	+1.0134	0.0874	0.2727	2.33	0	0.0000	unlikely binder
51	2vwd_A_cleaned	+1.0291	0.0837	0.2727	2.59	0	0.0000	unlikely binder
52	2bba_A_cleaned	+1.0438	0.0995	0.2727	1.92	0	0.0000	unlikely binder
53	8wjb_A_cleaned	+1.0492	0.0904	0.2727	2.38	0	0.0000	unlikely binder
54	2bba_cleaned	+1.0554	0.1008	0.2727	1.92	0	0.0000	unlikely binder
55	subtilisin_unbound_cleaned	+1.0776	0.1085	0.2727	1.68	0	0.0000	unlikely binder
56	brca1_cleaned	+1.0891	0.1022	0.2727	2.04	0	0.0000	unlikely binder
57	chymotrypsin_unbound_cleaned	+1.0913	0.0961	0.2727	2.33	0	0.0000	unlikely binder
58	2hle_A_cleaned	+1.1192	0.1024	0.2727	2.19	0	0.0000	unlikely binder
59	mutconserved_9_af3_cleaned	+1.1675	0.0980	0.2727	2.65	0	0.0000	unlikely binder
60	1trn_A_cleaned	+1.1798	0.1044	0.2727	2.41	0	0.0000	unlikely binder
61	3gxu_A_cleaned	+1.2720	0.1129	0.2727	2.50	0	0.0000	unlikely binder
62	8ja5_cleaned	+1.5528	0.0737	0.1818	—	0	0.0000	unlikely binder
63	7syy_cleaned	+1.5535	0.0738	0.1818	—	0	0.0000	unlikely binder
64	6vy5_cleaned	+1.5646	0.0751	0.1818	—	0	0.0000	unlikely binder
65	6vy4_cleaned	+1.5812	0.0769	0.1818	—	0	0.0000	unlikely binder
66	6cmg_cleaned	+1.5814	0.0769	0.1818	—	0	0.0000	unlikely binder
67	2vsm_cleaned	+1.6046	0.0796	0.1818	—	0	0.0000	unlikely binder
68	A_B_b2_cleaned	+1.6046	0.0796	0.1818	—	0	0.0000	unlikely binder
69	A_B_b2_noPTM_cleaned	+1.6046	0.0796	0.1818	—	0	0.0000	unlikely binder
70	b2_cleaned	+1.6046	0.0796	0.1818	—	0	0.0000	unlikely binder
71	6pd4_A_cleaned	+1.6055	0.0797	0.1818	—	0	0.0000	unlikely binder
72	6cmg_A_cleaned	+1.6222	0.0816	0.1818	—	0	0.0000	unlikely binder
73	covid_closed_cleaned	+1.6419	0.0838	0.1818	—	0	0.0000	unlikely binder
74	2x9m_cleaned	+1.6889	0.0778	0.0909	—	0	0.0000	unlikely binder
75	6pd4_cleaned	+1.7044	0.0796	0.0909	—	0	0.0000	unlikely binder
76	3d12_cleaned	+1.7071	0.0799	0.0909	—	0	0.0000	unlikely binder
77	b3_cleaned	+1.7071	0.0799	0.0909	—	0	0.0000	unlikely binder
78	5nop_cleaned	+1.7398	0.0835	0.0909	—	0	0.0000	unlikely binder
79	covid_open_cleaned	+1.7859	0.0888	0.0909	—	0	0.0000	unlikely binder
80	mutconserved_10_af3_cleaned	+1.8738	0.0987	0.0909	—	0	0.0000	unlikely binder
81	1trn_cleaned	+1.8807	0.0995	0.0909	—	0	0.0000	unlikely binder
82	4wwy_cleaned	+1.9309	0.1051	0.0909	—	0	0.0000	unlikely binder
