candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter	temperature
cholix_catalytic_mutoutside_1	201	0.0067	0.8659	False	True	False	0.1
cholix_catalytic_mutoutside_2	201	0.0066	0.8663	False	True	False	0.2
cholix_catalytic_mutoutside_3	201	0.0061	0.849	False	True	False	0.3
cholix_catalytic_mutoutside_4	201	0.0061	0.8492	False	True	False	0.4
cholix_catalytic_mutoutside_5	201	0.0063	0.8506	False	True	False	0.5
cholix_catalytic_mutoutside_6	201	0.0061	0.8594	False	True	False	0.6
cholix_catalytic_mutoutside_7	201	0.0072	0.849	False	True	False	0.7
cholix_catalytic_mutoutside_8	201	0.0075	0.8523	False	True	False	0.8
cholix_catalytic_mutoutside_9	201	0.0181	0.8601	False	True	False	0.9
cholix_catalytic_mutoutside_10	201	0.0161	0.8518	False	True	False	1.0
cholix_catalytic_mutoutside_11	201	0.0162	0.8462	False	True	False	1.1
cholix_catalytic_mutoutside_12	201	0.0129	0.8472	False	True	False	1.2
cholix_catalytic_mutoutside_13	201	0.0081	0.8447	False	True	False	1.3
cholix_catalytic_mutoutside_14	201	0.009	0.7676	False	False	False	1.4
cholix_catalytic_mutoutside_15	201	0.0086	0.7712	False	False	False	1.5
cholix_catalytic_mutconserved_1	201	0.0062	0.8294	False	True	False	0.1
cholix_catalytic_mutconserved_2	201	0.0062	0.8417	False	True	False	0.26
cholix_catalytic_mutconserved_3	201	0.0051	0.8287	False	True	False	0.41
cholix_catalytic_mutconserved_4	201	0.0059	0.8163	False	True	False	0.57
cholix_catalytic_mutconserved_5	201	0.0069	0.8142	False	True	False	0.72
cholix_catalytic_mutconserved_6	201	0.0074	0.8164	False	True	False	0.88
cholix_catalytic_mutconserved_7	201	0.0078	0.8174	False	True	False	1.03
cholix_catalytic_mutconserved_8	201	0.0162	0.7405	False	False	False	1.19
cholix_catalytic_mutconserved_9	201	0.0087	0.7106	False	False	False	1.34
cholix_catalytic_mutconserved_10	201	0.011	0.7335	False	False	False	1.5
