candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter
1iko	141	0.0171	0.6032	True	False	False
1trn	446	0.1625	0.6703	True	False	False
1v3d	862	0.0101	0.7005	True	False	False
1v3d_A	431	0.0327	0.8399	True	True	True
2bba	199	0.0395	0.7827	True	False	False
2bba_A	185	0.0392	0.7767	True	False	False
2hle	321	0.0279	0.7714	True	False	False
2hle_A	188	0.0532	0.7783	True	False	False
2vsk	1061	0.0065	0.7121	False	False	False
2vsk_A	400	0.008	0.8493	True	True	True
2vsm	550	0.0168	0.8464	True	True	True
2vwd	823	0.2605	0.8056	True	True	True
2vwd_A	413	0.0184	0.8491	True	True	True
2vwd_A_boltz2	413	0.0184	0.8491	True	True	True
2x9m_A	419	0.0229	0.8512	True	True	True
3d11	427	0.0174	0.8496	True	True	True
3d12	1138	0.061	0.7077	True	False	False
3d12_A	428	0.0174	0.8502	True	True	True
3gxu	309	0.0647	0.7906	True	False	False
4wwy	564	0.09	0.6933	True	False	False
5kv9	430	0.0718	0.8443	True	True	True
5nop	857	0.4551	0.7918	True	False	False
6cmg	860	0.0106	0.8377	True	True	True
6cmg_A	428	0.0223	0.8506	True	True	True
6cmi	869	0.0106	0.8378	True	True	True
6p72	852	0.0192	0.6991	True	False	False
6p72_A	426	0.0088	0.8438	True	True	True
6pd4	865	0.6438	0.7533	True	False	False
6pdl_A	421	0.0223	0.8503	True	True	True
6vy5	835	0.0167	0.8477	True	True	True
7syy	849	0.0132	0.8377	True	True	True
7syy_A	413	0.0109	0.85	True	True	True
8vf1	836	0.9703		True	False	False
8vf1_A	418	0.0225	0.8508	True	True	True
8wjb	840	0.8713		True	False	False
9dvd	748	0.0079	0.817	True	True	True
9dvd_A	411	0.0098	0.8518	True	True	True
A_B_b2	550	0.0168	0.8464	True	True	True
A_B_b2_noPTM	550	0.0168	0.8464	True	True	True
A_B_b2_noPTM_A	413	0.0166	0.8491	True	True	True
A_B_b2_noPTM_A_boltz2	413	0.0166	0.8491	True	True	True
A_B_b3	569	0.0132	0.8455	True	True	True
A_B_b3_noPTM	569	0.0132	0.8455	True	True	True
b2	550	0.0168	0.8464	True	True	True
b3	1138	0.061	0.7077	True	False	False
b3_A	428	0.0174	0.8502	True	True	True
brca1	699	0.014	0.8164	True	True	True
1f0l_A_mutoutside_1	535	0.015	0.9164	True	True	True
1f0l_A_mutoutside_2	535	0.0146	0.9189	True	True	True
1f0l_A_mutoutside_3	535	0.0156	0.9201	True	True	True
1f0l_A_mutoutside_4	535	0.0159	0.9183	True	True	True
1f0l_A_mutoutside_5	535	0.0132	0.9167	True	True	True
1f0l_A_mutoutside_6	535	0.0141	0.9146	True	True	True
1f0l_A_mutoutside_7	535	0.0128	0.923	True	True	True
1f0l_A_mutoutside_8	535	0.0126	0.9139	True	True	True
1f0l_A_mutoutside_9	535	0.0118	0.9129	True	True	True
1f0l_A_mutoutside_10	535	0.0092	0.912	True	True	True
1f0l_A_mutoutside_11	535	0.0115	0.9185	True	True	True
1f0l_A_mutoutside_12	535	0.0108	0.9099	True	True	True
1f0l_A_mutoutside_13	535	0.0106	0.909	True	True	True
1f0l_A_mutoutside_14	535	0.0109	0.8944	True	True	True
1f0l_A_mutoutside_15	535	0.011	0.8623	True	True	True
1f0l_mutconserved_1	535	0.0115	0.8924	True	True	True
1f0l_mutconserved_2	535	0.0087	0.892	True	True	True
1f0l_mutconserved_3	535	0.011	0.8847	True	True	True
1f0l_mutconserved_4	535	0.0101	0.8681	True	True	True
1f0l_mutconserved_5	535	0.0093	0.8563	True	True	True
1f0l_mutconserved_6	535	0.0091	0.859	True	True	True
1f0l_mutconserved_7	535	0.0078	0.8536	False	True	False
1f0l_mutconserved_8	535	0.0094	0.8511	True	True	True
1f0l_mutconserved_9	535	0.013	0.8453	True	True	True
1f0l_mutconserved_10	535	0.0091	0.8567	True	True	True
1sgk_A	523	0.0103	0.9465	True	True	True
1f0l_A	522	0.0103	0.9463	True	True	True
subtilisin_unbound	275	0.009	0.6999	True	False	False
chymotrypsin_unbound	238	0.0276	0.7179	True	False	False
