rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	mutoutside_1_af3	-0.7793	0.0735	0.6667	0.11	0	0.0000	PREDICTED BINDER
2	mutoutside_1_boltz2	-0.6201	0.0770	0.8333	1.59	0	0.0000	PREDICTED BINDER
3	mutoutside_9_boltz2	-0.5073	0.0814	0.6667	0.83	0	0.0000	PREDICTED BINDER
4	esmfold_1f0l_A_mutoutside_1_structure	-0.5009	0.0758	0.8333	2.25	0	0.0000	PREDICTED BINDER
5	mutoutside_7_af3	-0.4644	0.0786	0.5000	0.28	0	0.0000	PREDICTED BINDER
6	mutoutside_7_boltz2	-0.4162	0.0855	0.5000	0.01	0	0.0000	PREDICTED BINDER
7	mutoutside_9_af3	-0.3726	0.0852	0.5000	0.24	0	0.0000	PREDICTED BINDER
8	esmfold_1f0l_A_mutoutside_4_structure	-0.3679	0.0880	0.8333	1.99	0	0.0000	PREDICTED BINDER
9	esmfold_1f0l_A_mutoutside_2_structure	-0.3169	0.0816	0.6667	1.74	0	0.0000	PREDICTED BINDER
10	esmfold_1f0l_A_mutoutside_6_structure	-0.2808	0.0795	0.6667	2.07	0	0.0000	PREDICTED BINDER
11	esmfold_1f0l_A_mutoutside_3_structure	-0.2219	0.0822	0.6667	2.15	0	0.0000	PREDICTED BINDER
12	esmfold_3d11_structure	-0.1336	0.0900	0.6667	2.00	0	0.0000	PREDICTED BINDER
13	esmfold_1f0l_A_mutoutside_10_structure	-0.0778	0.0924	0.5000	1.13	0	0.0000	PREDICTED BINDER
14	esmfold_1f0l_A_mutoutside_11_structure	-0.0592	0.1078	0.8333	2.01	0	0.0000	PREDICTED BINDER
15	esmfold_1f0l_A_mutoutside_8_structure	-0.0095	0.1017	0.6667	1.73	0	0.0000	PREDICTED BINDER
16	esmfold_2hle_structure	-0.0086	0.0834	0.5000	2.13	0	0.0000	PREDICTED BINDER
17	mutoutside_14_boltz2	+0.0074	0.0987	0.5000	1.07	0	0.0000	PREDICTED BINDER
18	mutoutside_15_boltz2	+0.0136	0.1017	0.6667	1.84	0	0.0000	PREDICTED BINDER
19	esmfold_1iko_structure	+0.0586	0.1019	0.5000	1.08	0	0.0000	PREDICTED BINDER
20	esmfold_9dvd_structure	+0.0888	0.1062	0.5000	0.91	0	0.0000	PREDICTED BINDER
21	esmfold_9dvd_A_structure	+0.1046	0.1065	0.6667	1.93	0	0.0000	PREDICTED BINDER
22	esmfold_b3_A_structure	+0.1312	0.0956	0.5000	1.90	0	0.0000	PREDICTED BINDER
23	esmfold_1v3d_A_structure	+0.1531	0.1110	0.5000	0.86	0	0.0000	PREDICTED BINDER
24	mutoutside_14_af3	+0.1837	0.0956	0.5000	2.15	0	0.0000	PREDICTED BINDER
25	esmfold_3d12_A_structure	+0.1917	0.0956	0.5000	2.19	0	0.0000	PREDICTED BINDER
26	esmfold_2bba_A_structure	+0.1980	0.0937	0.5000	2.36	0	0.0000	PREDICTED BINDER
27	esmfold_1f0l_A_mutoutside_12_structure	+0.2025	0.0983	0.5000	2.04	0	0.0000	PREDICTED BINDER
28	esmfold_2hle_A_structure	+0.2104	0.0946	0.5000	2.35	0	0.0000	PREDICTED BINDER
29	esmfold_1f0l_A_mutoutside_5_structure	+0.2142	0.0960	0.5000	2.27	0	0.0000	PREDICTED BINDER
30	esmfold_A_B_b2_noPTM_A_structure	+0.2268	0.1015	0.5000	1.92	0	0.0000	PREDICTED BINDER
31	esmfold_A_B_b2_noPTM_A_boltz2_structure	+0.2268	0.1015	0.5000	1.92	0	0.0000	PREDICTED BINDER
32	esmfold_1f0l_A_mutoutside_13_structure	+0.2296	0.1162	0.5000	0.84	0	0.0000	PREDICTED BINDER
33	esmfold_2bba_structure	+0.2618	0.1024	0.5000	2.02	0	0.0000	PREDICTED BINDER
