candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter
1iko	141	0.0179	0.5934	True	False	False
1trn	446	0.3341	0.6631	True	False	False
1v3d	862	0.0076	0.6959	True	False	False
1v3d_A	431	0.0143	0.8207	True	True	True
2bba	199	0.134	0.7859	True	False	False
2bba_A	185	0.019	0.7684	True	False	False
2hle	321	0.0229	0.7653	True	False	False
2hle_A	188	0.0229	0.7698	True	False	False
2vsk	1061	0.0089	0.7047	True	False	False
2vsk_A	400	0.0131	0.8232	True	True	True
2vsm	550	0.0153	0.844	True	True	True
2vwd	823	0.2719	0.7986	True	False	False
2vwd_A	413	0.0137	0.8463	True	True	True
2vwd_A_boltz2	413	0.0137	0.8463	True	True	True
2x9m_A	419	0.0144	0.824	True	True	True
3d11	427	0.013	0.8464	True	True	True
3d12	1138	0.047	0.7013	True	False	False
3d12_A	428	0.0115	0.8471	True	True	True
3gxu	309	0.13	0.7775	True	False	False
4wwy	564	0.0813	0.69	True	False	False
5kv9	430	0.0312	0.8255	True	True	True
5nop	857	0.3422	0.7859	True	False	False
6cmg	860	0.0157	0.828	True	True	True
6cmg_A	428	0.0103	0.8225	True	True	True
6cmi	869	0.0177	0.8259	True	True	True
6p72	852	0.0101	0.695	True	False	False
6p72_A	426	0.0108	0.831	True	True	True
6pd4	865	0.589	0.7516	True	False	False
6pdl_A	421	0.012	0.8319	True	True	True
6vy5	835	0.0158	0.8249	True	True	True
7syy	849	0.0164	0.845	True	True	True
7syy_A	413	0.0199	0.8265	True	True	True
8vf1	836	0.9838		True	False	False
8vf1_A	418	0.0149	0.8234	True	True	True
8wjb	840	0.6858	0.7301	True	False	False
9dvd	748	0.0196	0.8241	True	True	True
9dvd_A	411	0.0144	0.8258	True	True	True
A_B_b2	550	0.0153	0.844	True	True	True
A_B_b2_noPTM	550	0.0153	0.844	True	True	True
A_B_b2_noPTM_A	413	0.013	0.8238	True	True	True
A_B_b2_noPTM_A_boltz2	413	0.013	0.8238	True	True	True
A_B_b3	569	0.0116	0.8429	True	True	True
A_B_b3_noPTM	569	0.0116	0.8429	True	True	True
b2	550	0.0153	0.844	True	True	True
b3	1138	0.047	0.7013	True	False	False
b3_A	428	0.0115	0.8471	True	True	True
brca1	699	0.0102	0.8134	True	True	True
1f0l_A_mutoutside_1	535	0.0094	0.9297	True	True	True
1f0l_A_mutoutside_2	535	0.0081	0.9162	True	True	True
1f0l_A_mutoutside_3	535	0.0088	0.91	True	True	True
1f0l_A_mutoutside_4	535	0.0089	0.926	True	True	True
1f0l_A_mutoutside_5	535	0.008	0.9287	True	True	True
1f0l_A_mutoutside_6	535	0.0092	0.9259	True	True	True
1f0l_A_mutoutside_7	535	0.0096	0.933	True	True	True
1f0l_A_mutoutside_8	535	0.0075	0.934	True	True	True
1f0l_A_mutoutside_9	535	0.0077	0.932	True	True	True
1f0l_A_mutoutside_10	535	0.013	0.9334	True	True	True
1f0l_A_mutoutside_11	535	0.0104	0.9274	True	True	True
1f0l_A_mutoutside_12	535	0.0075	0.9252	True	True	True
1f0l_A_mutoutside_13	535	0.0072	0.9176	True	True	True
1f0l_A_mutoutside_14	535	0.0094	0.9104	True	True	True
1f0l_A_mutoutside_15	535	0.0095	0.9087	True	True	True
1f0l_mutconserved_1	535	0.0072	0.8758	True	True	True
1f0l_mutconserved_2	535	0.0075	0.8741	True	True	True
1f0l_mutconserved_3	535	0.0074	0.8859	True	True	True
1f0l_mutconserved_4	535	0.0081	0.8871	True	True	True
1f0l_mutconserved_5	535	0.0089	0.8761	True	True	True
1f0l_mutconserved_6	535	0.0097	0.853	True	True	True
1f0l_mutconserved_7	535	0.0111	0.8489	True	True	True
1f0l_mutconserved_8	535	0.0108	0.848	True	True	True
1f0l_mutconserved_9	535	0.0118	0.8424	True	True	True
1f0l_mutconserved_10	535	0.0088	0.8516	True	True	True
1sgk_A	523	0.0088	0.9597	True	True	True
1f0l_A	522	0.0087	0.9596	True	True	True
subtilisin_unbound	275	0.0174	0.6821	True	False	False
chymotrypsin_unbound	238	0.028	0.7068	True	False	False
