candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter	temperature
cholix_mutconserved_1	605	0.0118	0.8343	False	True	False	0.1
cholix_mutconserved_10	605	0.0103	0.7441	False	False	False	1.5
cholix_mutconserved_2	605	0.0109	0.8521	False	True	False	0.26
cholix_mutconserved_3	605	0.022	0.8402	False	True	False	0.41
cholix_mutconserved_4	605	0.0155	0.8408	False	True	False	0.57
cholix_mutconserved_5	605	0.0221	0.8299	False	True	False	0.72
cholix_mutconserved_6	605	0.0216	0.8289	False	True	False	0.88
cholix_mutconserved_7	605	0.0078	0.8175	False	True	False	1.03
cholix_mutconserved_8	605	0.0119	0.7638	False	False	False	1.19
cholix_mutconserved_9	605	0.0085	0.7356	False	False	False	1.34
cholix_mutoutside_1	605	0.0177	0.8616	False	True	False	0.1
cholix_mutoutside_10	605	0.0156	0.845	False	True	False	1.0
cholix_mutoutside_11	605	0.0166	0.8384	False	True	False	1.1
cholix_mutoutside_12	605	0.0126	0.8232	False	True	False	1.2
cholix_mutoutside_13	605	0.0764	0.8982	True	True	True	1.3
cholix_mutoutside_14	605	0.079	0.9034	True	True	True	1.4
cholix_mutoutside_15	605	0.0118	0.8348	False	True	False	1.5
cholix_mutoutside_2	605	0.0149	0.8636	False	True	False	0.2
cholix_mutoutside_3	605	0.0186	0.863	False	True	False	0.3
cholix_mutoutside_4	605	0.0147	0.8511	False	True	False	0.4
cholix_mutoutside_5	605	0.0122	0.8377	False	True	False	0.5
cholix_mutoutside_6	605	0.0116	0.8357	False	True	False	0.6
cholix_mutoutside_7	605	0.0122	0.8394	False	True	False	0.7
cholix_mutoutside_8	605	0.0153	0.8536	False	True	False	0.8
cholix_mutoutside_9	605	0.0152	0.8499	False	True	False	0.9
