candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter
botul_A_mutoutside_1	436	0.1448	0.8983	True	True	True
botul_A_mutoutside_2	436	0.0046	0.8839	True	True	True
botul_A_mutoutside_3	436	0.0093	0.9123	True	True	True
botul_A_mutoutside_4	436	0.0086	0.9038	True	True	True
botul_A_mutoutside_5	436	0.0108	0.8935	True	True	True
botul_A_mutoutside_6	436	0.0097	0.8993	True	True	True
botul_A_mutoutside_7	436	0.0134	0.9267	True	True	True
botul_A_mutoutside_8	436	0.019	0.9253	True	True	True
botul_A_mutoutside_9	436	0.0835	0.8827	True	True	True
botul_A_mutoutside_10	436	0.0114	0.9172	True	True	True
botul_A_mutoutside_11	436	0.0164	0.9194	True	True	True
botul_A_mutoutside_12	436	0.1162	0.8913	True	True	True
botul_A_mutoutside_13	436	0.0068	0.9014	True	True	True
botul_A_mutoutside_14	436	0.014	0.9057	True	True	True
botul_A_mutoutside_15	436	0.0103	0.9099	True	True	True
botul_A_mutconserved_1	436	0.0093	0.8913	True	True	True
botul_A_mutconserved_2	436	0.007	0.8856	True	True	True
botul_A_mutconserved_3	436	0.036	0.9175	True	True	True
botul_A_mutconserved_4	436	0.0264	0.908	True	True	True
botul_A_mutconserved_5	436	0.007	0.8885	True	True	True
botul_A_mutconserved_6	436	0.0732	0.9113	True	True	True
botul_A_mutconserved_7	436	0.0197	0.9087	True	True	True
botul_A_mutconserved_8	436	0.0191	0.911	True	True	True
botul_A_mutconserved_9	436	0.0161	0.9085	True	True	True
botul_A_mutconserved_10	440	0.039	0.9039	True	True	True
