rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	botul_A	-1.0000	0.0000	1.0000	0.00	0	0.0000	PREDICTED BINDER
2	botul_A_mutconserved_1	+0.6129	0.0714	0.5714	1.82	0	0.0000	PREDICTED BINDER
3	botul_A_mutconserved_5	+0.6532	0.0698	0.4286	1.10	0	0.0000	PREDICTED BINDER
4	botul_A_mutconserved_2	+0.6751	0.0881	0.4286	0.38	0	0.0000	PREDICTED BINDER
5	botul_A_mutoutside_2	+0.7017	0.0711	0.4286	1.28	0	0.0000	PREDICTED BINDER
6	botul_A_mutoutside_3	+0.7154	0.0764	0.5714	2.10	0	0.0000	PREDICTED BINDER
7	botul_A_mutoutside_1	+0.7368	0.0683	0.4286	1.58	0	0.0000	PREDICTED BINDER
8	botul_A_mutconserved_3	+0.8145	0.0708	0.4286	1.85	0	0.0000	PREDICTED BINDER
9	botul_A_mutoutside_11	+0.8629	0.0892	0.4286	1.27	0	0.0000	PREDICTED BINDER
10	botul_A_mutoutside_13	+0.8930	0.1019	0.4286	0.84	0	0.0000	PREDICTED BINDER
11	botul_A_mutoutside_8	+0.8939	0.0860	0.4286	1.56	0	0.0000	PREDICTED BINDER
12	botul_A_mutoutside_6	+0.8981	0.0859	0.4286	1.59	0	0.0000	PREDICTED BINDER
13	botul_A_mutoutside_4	+0.9286	0.0760	0.4286	2.18	0	0.0000	PREDICTED BINDER
14	botul_A_mutoutside_5	+0.9299	0.0826	0.4286	1.90	0	0.0000	unlikely binder
15	botul_A_mutconserved_6	+0.9384	0.0871	0.4286	1.73	0	0.0000	unlikely binder
16	botul_A_mutoutside_7	+0.9723	0.0831	0.4286	2.08	0	0.0000	unlikely binder
17	botul_A_mutconserved_7	+1.0103	0.1090	0.5714	2.10	0	0.0000	unlikely binder
18	botul_A_mutoutside_10	+1.0181	0.0891	0.4286	2.04	0	0.0000	unlikely binder
19	botul_A_mutconserved_8	+1.0543	0.0900	0.4286	2.18	0	0.0000	unlikely binder
20	botul_A_mutoutside_14	+1.0643	0.1058	0.4286	1.52	0	0.0000	unlikely binder
21	botul_A_mutoutside_12	+1.1523	0.1071	0.4286	1.90	0	0.0000	unlikely binder
22	botul_A_mutconserved_9	+1.2186	0.1015	0.4286	2.48	0	0.0000	unlikely binder
23	botul_A_mutoutside_15	+1.2384	0.1105	0.4286	2.17	0	0.0000	unlikely binder
24	botul_A_mutconserved_4	+1.7132	0.0788	0.2857	—	0	0.0000	unlikely binder
25	botul_A_mutoutside_9	+1.7446	0.0822	0.2857	—	0	0.0000	unlikely binder
26	botul_A_mutconserved_10	+1.8444	0.0933	0.2857	—	0	0.0000	unlikely binder
