candidate	seq_len	contact_score	chem_sim	contact_pass	chem_pass	pass_filter
cholix_catalytic_t07_mutoutside_1	206	0.0077	0.8196	False	True	False
cholix_catalytic_t07_mutoutside_2	206	0.0071	0.8313	False	True	False
cholix_catalytic_t07_mutoutside_3	206	0.0051	0.8242	False	True	False
cholix_catalytic_t07_mutoutside_4	206	0.006	0.8272	False	True	False
cholix_catalytic_t07_mutoutside_5	206	0.0062	0.8348	False	True	False
cholix_catalytic_t07_mutoutside_6	206	0.0069	0.8247	False	True	False
cholix_catalytic_t07_mutoutside_7	206	0.0106	0.8254	False	True	False
cholix_catalytic_t07_mutoutside_8	206	0.0057	0.8158	False	True	False
cholix_catalytic_t07_mutoutside_9	206	0.0054	0.8204	False	True	False
cholix_catalytic_t07_mutoutside_10	206	0.0057	0.8299	False	True	False
cholix_catalytic_t07_mutoutside_11	206	0.0056	0.8244	False	True	False
cholix_catalytic_t07_mutoutside_12	206	0.0058	0.8351	False	True	False
cholix_catalytic_t07_mutoutside_13	206	0.0056	0.83	False	True	False
cholix_catalytic_t07_mutoutside_14	206	0.0054	0.8195	False	True	False
cholix_catalytic_t07_mutoutside_15	206	0.0055	0.83	False	True	False
cholix_catalytic_t07_mutoutside_16	206	0.0057	0.8211	False	True	False
cholix_catalytic_t07_mutoutside_17	206	0.0065	0.8269	False	True	False
cholix_catalytic_t07_mutoutside_18	206	0.0057	0.8201	False	True	False
cholix_catalytic_t07_mutoutside_19	206	0.0065	0.8201	False	True	False
cholix_catalytic_t07_mutoutside_20	206	0.0062	0.8229	False	True	False
cholix_catalytic_t07_mutoutside_21	206	0.0059	0.8484	False	True	False
cholix_catalytic_t07_mutoutside_22	206	0.007	0.8413	False	True	False
cholix_catalytic_t07_mutoutside_23	206	0.0056	0.8375	False	True	False
cholix_catalytic_t07_mutoutside_24	206	0.006	0.8267	False	True	False
cholix_catalytic_t07_mutoutside_25	206	0.0056	0.8417	False	True	False
cholix_catalytic_t07_mutoutside_26	206	0.0062	0.8287	False	True	False
cholix_catalytic_t07_mutoutside_27	206	0.0055	0.8291	False	True	False
cholix_catalytic_t07_mutoutside_28	206	0.0058	0.8106	False	True	False
cholix_catalytic_t07_mutoutside_29	206	0.0064	0.8423	False	True	False
cholix_catalytic_t07_mutoutside_30	206	0.0112	0.8043	False	True	False
cholix_catalytic_t07_mutconserved_1	206	0.0075	0.8137	False	True	False
cholix_catalytic_t07_mutconserved_2	206	0.0056	0.8198	False	True	False
cholix_catalytic_t07_mutconserved_3	206	0.0063	0.8244	False	True	False
cholix_catalytic_t07_mutconserved_4	206	0.0067	0.8223	False	True	False
cholix_catalytic_t07_mutconserved_5	206	0.0056	0.8129	False	True	False
cholix_catalytic_t07_mutconserved_6	206	0.0058	0.8198	False	True	False
cholix_catalytic_t07_mutconserved_7	206	0.0062	0.822	False	True	False
cholix_catalytic_t07_mutconserved_8	206	0.0071	0.8154	False	True	False
cholix_catalytic_t07_mutconserved_9	206	0.0055	0.8294	False	True	False
cholix_catalytic_t07_mutconserved_10	206	0.0094	0.8057	False	True	False
cholix_catalytic_t07_mutconserved_11	206	0.0056	0.8243	False	True	False
cholix_catalytic_t07_mutconserved_12	206	0.0052	0.8067	False	True	False
cholix_catalytic_t07_mutconserved_13	206	0.0062	0.8081	False	True	False
cholix_catalytic_t07_mutconserved_14	206	0.0056	0.8156	False	True	False
cholix_catalytic_t07_mutconserved_15	206	0.0059	0.8019	False	True	False
cholix_catalytic_t07_mutconserved_16	206	0.0106	0.8351	False	True	False
cholix_catalytic_t07_mutconserved_17	206	0.0145	0.8306	False	True	False
cholix_catalytic_t07_mutconserved_18	206	0.0055	0.8229	False	True	False
cholix_catalytic_t07_mutconserved_19	206	0.0055	0.8111	False	True	False
cholix_catalytic_t07_mutconserved_20	206	0.0054	0.8081	False	True	False
cholix_catalytic_t07_mutconserved_21	206	0.0062	0.8198	False	True	False
cholix_catalytic_t07_mutconserved_22	206	0.0064	0.822	False	True	False
cholix_catalytic_t07_mutconserved_23	206	0.0053	0.7913	False	False	False
cholix_catalytic_t07_mutconserved_24	206	0.0061	0.813	False	True	False
cholix_catalytic_t07_mutconserved_25	206	0.0056	0.82	False	True	False
cholix_catalytic_t07_mutconserved_26	206	0.0062	0.811	False	True	False
cholix_catalytic_t07_mutconserved_27	206	0.0069	0.8274	False	True	False
cholix_catalytic_t07_mutconserved_28	206	0.0067	0.8225	False	True	False
cholix_catalytic_t07_mutconserved_29	206	0.0057	0.8113	False	True	False
cholix_catalytic_t07_mutconserved_30	206	0.0062	0.7864	False	False	False
